t,x,y,z
1.630000000000000115e+00,-2.194595287139713968e-01,2.194595287139712581e-01,4.923385515359654518e-01
1.640000000000000124e+00,-2.226760264581751358e-01,2.226760264581750248e-01,4.888095601591379569e-01
1.650000000000000133e+00,-2.258966843226476173e-01,2.258966843226475063e-01,4.851925449533243118e-01
1.660000000000000142e+00,-2.291195944062735523e-01,2.291195944062733858e-01,4.814870822803455908e-01
1.669999999999999929e+00,-2.323427831829050494e-01,2.323427831829049384e-01,4.776928742495663016e-01
1.679999999999999938e+00,-2.355642133610662547e-01,2.355642133610661160e-01,4.738097572296410265e-01
1.689999999999999947e+00,-2.387817861107284778e-01,2.387817861107282835e-01,4.698377104713525876e-01
1.699999999999999956e+00,-2.419933436735126897e-01,2.419933436735126064e-01,4.657768648077340035e-01
1.709999999999999964e+00,-2.451966723715440777e-01,2.451966723715440777e-01,4.616275113939831143e-01
1.719999999999999973e+00,-2.483895060285233880e-01,2.483895060285232770e-01,4.573901104463319878e-01
1.729999999999999982e+00,-2.515695298148851178e-01,2.515695298148850623e-01,4.530652999353365629e-01
1.739999999999999991e+00,-2.547343845267739937e-01,2.547343845267739937e-01,4.486539041855716059e-01
1.750000000000000000e+00,-2.578816713061051757e-01,2.578816713061052313e-01,4.441569423304020381e-01
1.760000000000000009e+00,-2.610089568063799770e-01,2.610089568063799770e-01,4.395756365669600263e-01
1.770000000000000018e+00,-2.641137788057749125e-01,2.641137788057749680e-01,4.349114201534992619e-01
1.780000000000000027e+00,-2.671936522656914170e-01,2.671936522656914170e-01,4.301659450883405511e-01
1.790000000000000036e+00,-2.702460758293322440e-01,2.702460758293322440e-01,4.253410894068491155e-01
1.800000000000000044e+00,-2.732685387507715058e-01,2.732685387507715058e-01,4.204389640308118237e-01
1.810000000000000053e+00,-2.762585282408899223e-01,2.762585282408899223e-01,4.154619191022542180e-01
1.820000000000000062e+00,-2.792135372117761083e-01,2.792135372117763303e-01,4.104125497327350547e-01
1.830000000000000071e+00,-2.821310723965744227e-01,2.821310723965746448e-01,4.052937010977768484e-01
1.840000000000000080e+00,-2.850086628166505487e-01,2.850086628166509928e-01,4.001084728058842410e-01
1.850000000000000089e+00,-2.878438685627817128e-01,2.878438685627820459e-01,3.948602224717297493e-01
1.860000000000000098e+00,-2.906342898517331186e-01,2.906342898517336182e-01,3.895525684239988240e-01
1.870000000000000107e+00,-2.933775763141440174e-01,2.933775763141445725e-01,3.841893914800930676e-01
1.880000000000000115e+00,-2.960714364643563523e-01,2.960714364643567964e-01,3.787748357218112538e-01
1.890000000000000124e+00,-2.987136472971602674e-01,2.987136472971608225e-01,3.733133082101309230e-01
1.900000000000000133e+00,-3.013020639515173738e-01,3.013020639515179289e-01,3.678094775801028504e-01
1.910000000000000142e+00,-3.038346293758478756e-01,3.038346293758486527e-01,3.622682714630426903e-01
1.919999999999999929e+00,-3.063093839251280759e-01,3.063093839251286865e-01,3.566948726872977149e-01
1.929999999999999938e+00,-3.087244748153674667e-01,3.087244748153680773e-01,3.510947142162857415e-01
1.939999999999999947e+00,-3.110781570294385845e-01,3.110781570294392506e-01,3.454735067577582863e-01
1.949999999999999956e+00,-3.133688116589893324e-01,3.133688116589900541e-01,3.398372052707340218e-01
1.959999999999999964e+00,-3.155949829024173314e-01,3.155949829024182751e-01,3.341918522930139024e-01
1.969999999999999973e+00,-3.177553293182669991e-01,3.177553293182679983e-01,3.285438133967389929e-01
1.979999999999999982e+00,-3.198486623522169281e-01,3.198486623522178718e-01,3.228996526183294802e-01
1.989999999999999991e+00,-3.218739504018853226e-01,3.218739504018866548e-01,3.172661247897065606e-01
2.000000000000000000e+00,-3.238303242282281613e-01,3.238303242282293826e-01,3.116501623105077390e-01
2.010000000000000231e+00,-3.257170820951764134e-01,3.257170820951776347e-01,3.060588597047006476e-01
2.020000000000000018e+00,-3.275336941331783991e-01,3.275336941331796203e-01,3.004994567265312222e-01
2.030000000000000249e+00,-3.292798057443577786e-01,3.292798057443593329e-01,2.949793202606719178e-01
2.040000000000000036e+00,-3.309552399531929257e-01,3.309552399531943689e-01,2.895059251339253681e-01
2.049999999999999822e+00,-3.325599986331733149e-01,3.325599986331745916e-01,2.840868339294933542e-01
2.060000000000000053e+00,-3.340942625522004827e-01,3.340942625522019260e-01,2.787296758952906295e-01
2.069999999999999840e+00,-3.355583901893616217e-01,3.355583901893632315e-01,2.734421250435988271e-01
2.080000000000000071e+00,-3.369529152855873511e-01,3.369529152855889054e-01,2.682318775481256079e-01
2.089999999999999858e+00,-3.382785431018004441e-01,3.382785431018021649e-01,2.631066285510268443e-01
2.100000000000000089e+00,-3.395361453700970200e-01,3.395361453700988519e-01,2.580740484998088613e-01
2.109999999999999876e+00,-3.407267539365861353e-01,3.407267539365879117e-01,2.531417591385120014e-01
2.120000000000000107e+00,-3.418515531083042291e-01,3.418515531083059500e-01,2.483173092825957939e-01
2.129999999999999893e+00,-3.429118707312115433e-01,3.429118707312135417e-01,2.436081505091418076e-01
2.140000000000000124e+00,-3.439091680413439711e-01,3.439091680413462471e-01,2.390216128955150732e-01
2.149999999999999911e+00,-3.448450283465659405e-01,3.448450283465683830e-01,2.345648809396002621e-01
