t,x,y,z
6.129999999999999893e-01,-3.237150081012287739e-01,-3.237150081012281078e-01,3.126904709109804004e-01
6.139999999999999902e-01,-3.228832317835273469e-01,-3.228832317835266252e-01,3.152745463021495165e-01
6.149999999999999911e-01,-3.220404296627693563e-01,-3.220404296627685237e-01,3.178509362896934087e-01
6.159999999999999920e-01,-3.211866983787786678e-01,-3.211866983787778351e-01,3.204194171760680332e-01
6.169999999999999929e-01,-3.203221368825658333e-01,-3.203221368825652782e-01,3.229797681559783418e-01
6.179999999999999938e-01,-3.194468463939862946e-01,-3.194468463939856839e-01,3.255317713449253358e-01
6.189999999999999947e-01,-3.185609303593384678e-01,-3.185609303593378572e-01,3.280752118068228640e-01
6.199999999999999956e-01,-3.176644944089125899e-01,-3.176644944089119793e-01,3.306098775806892709e-01
6.209999999999999964e-01,-3.167576463144958776e-01,-3.167576463144951560e-01,3.331355597064277752e-01
6.219999999999999973e-01,-3.158404959468400497e-01,-3.158404959468393836e-01,3.356520522497010717e-01
6.229999999999999982e-01,-3.149131552330980965e-01,-3.149131552330973749e-01,3.381591523259150911e-01
6.239999999999999991e-01,-3.139757381142339598e-01,-3.139757381142331827e-01,3.406566601233159131e-01
6.250000000000000000e-01,-3.130283605024125615e-01,-3.130283605024117288e-01,3.431443789252032195e-01
6.260000000000000009e-01,-3.120711402383740674e-01,-3.120711402383731792e-01,3.456221151312708351e-01
6.270000000000000018e-01,-3.111041970487947728e-01,-3.111041970487938291e-01,3.480896782780805165e-01
6.280000000000000027e-01,-3.101276525036423815e-01,-3.101276525036414378e-01,3.505468810586648831e-01
6.290000000000000036e-01,-3.091416299735275097e-01,-3.091416299735265660e-01,3.529935393412694800e-01
6.300000000000000044e-01,-3.081462545870560787e-01,-3.081462545870551351e-01,3.554294721872327534e-01
6.310000000000000053e-01,-3.071416531881865364e-01,-3.071416531881857037e-01,3.578545018680082679e-01
6.320000000000000062e-01,-3.061279542935957387e-01,-3.061279542935947395e-01,3.602684538813246129e-01
6.330000000000000071e-01,-3.051052880500587650e-01,-3.051052880500577658e-01,3.626711569664851087e-01
