t,x,z
1.616000000000000103e+00,-4.306569562030336806e-01,3.571661092828712913e-01
1.616999999999999993e+00,-4.299313154455515762e-01,3.584119709861159908e-01
1.618000000000000105e+00,-4.292007930623975009e-01,3.596573609376801928e-01
1.618999999999999995e+00,-4.284654174847684072e-01,3.609021975957721340e-01
1.620000000000000107e+00,-4.277252179225095041e-01,3.621463998830252717e-01
1.620999999999999996e+00,-4.269802243596426683e-01,3.633898871953654686e-01
1.622000000000000108e+00,-4.262304675497325945e-01,3.646325794107579954e-01
1.622999999999999998e+00,-4.254759790110798079e-01,3.658743968978304117e-01
1.624000000000000110e+00,-4.247167910217415354e-01,3.671152605243668265e-01
1.625000000000000000e+00,-4.239529366143971467e-01,3.683550916656709306e-01
1.626000000000000112e+00,-4.231844495710450627e-01,3.695938122128075709e-01
1.627000000000000002e+00,-4.224113644175393478e-01,3.708313445807005504e-01
1.628000000000000114e+00,-4.216337164179804198e-01,3.720676117161086927e-01
1.629000000000000004e+00,-4.208515415689405015e-01,3.733025371054580765e-01
1.630000000000000115e+00,-4.200648765935499074e-01,3.745360447825474282e-01
1.631000000000000005e+00,-4.192737589354266214e-01,3.757680593361066856e-01
1.632000000000000117e+00,-4.184782267524708166e-01,3.769985059172241693e-01
1.633000000000000007e+00,-4.176783189105128247e-01,3.782273102466311987e-01
1.634000000000000119e+00,-4.168740749768257703e-01,3.794543986218459897e-01
1.635000000000000009e+00,-4.160655352135008700e-01,3.806796979241754419e-01
1.636000000000000121e+00,-4.152527405706929464e-01,3.819031356255744303e-01
1.637000000000000011e+00,-4.144357326797364349e-01,3.831246397953592120e-01
1.638000000000000123e+00,-4.136145538461333260e-01,3.843441391067770052e-01
1.639000000000000012e+00,-4.127892470424249227e-01,3.855615628434282405e-01
1.640000000000000124e+00,-4.119598559009362004e-01,3.867768409055460932e-01
1.641000000000000014e+00,-4.111264247064034816e-01,3.879899038161169766e-01
1.642000000000000126e+00,-4.102889983884996372e-01,3.892006827268679192e-01
1.643000000000000016e+00,-4.094476225142317238e-01,3.904091094240883519e-01
1.644000000000000128e+00,-4.086023432802447508e-01,3.916151163343157826e-01
1.645000000000000018e+00,-4.077532075050166460e-01,3.928186365298599325e-01
1.646000000000000130e+00,-4.069002626209455853e-01,3.940196037341785473e-01
1.647000000000000020e+00,-4.060435566663516127e-01,3.952179523271067141e-01
1.648000000000000131e+00,-4.051831382773700696e-01,3.964136173499226978e-01
1.649000000000000021e+00,-4.043190566797575936e-01,3.976065345102687276e-01
1.650000000000000133e+00,-4.034513616806152392e-01,3.987966401869155186e-01
1.651000000000000023e+00,-4.025801036600146210e-01,3.999838714343723067e-01
1.652000000000000135e+00,-4.017053335625467847e-01,4.011681659873448380e-01
1.653000000000000025e+00,-4.008271028887859244e-01,4.023494622650309882e-01
1.654000000000000137e+00,-3.999454636866853208e-01,4.035276993752728858e-01
1.655000000000000027e+00,-3.990604685428915666e-01,4.047028171185443890e-01
1.656000000000000139e+00,-3.981721705739836858e-01,4.058747559917857961e-01
1.657000000000000028e+00,-3.972806234176535778e-01,4.070434571920841238e-01
1.658000000000000140e+00,-3.963858812238166829e-01,4.082088626201982873e-01
1.659000000000000030e+00,-3.954879986456558694e-01,4.093709148839238532e-01
1.660000000000000142e+00,-3.945870308306134167e-01,4.105295573013060806e-01
1.661000000000000032e+00,-3.936830334113215479e-01,4.116847339036966980e-01
1.662000000000000144e+00,-3.927760624964801162e-01,4.128363894386556932e-01
1.663000000000000034e+00,-3.918661746616812769e-01,4.139844693726899005e-01
1.664000000000000146e+00,-3.909534269401894746e-01,4.151289198938480363e-01
1.665000000000000036e+00,-3.900378768136794627e-01,4.162696879141520867e-01
1.665999999999999925e+00,-3.891195822029202001e-01,4.174067210718776511e-01
1.667000000000000037e+00,-3.881986014584287714e-01,4.185399677336721913e-01
1.667999999999999927e+00,-3.872749933510887255e-01,4.196693769965310628e-01
1.669000000000000039e+00,-3.863488170627260576e-01,4.207948986896083987e-01
1.669999999999999929e+00,-3.854201321766583810e-01,4.219164833758771715e-01
1.671000000000000041e+00,-3.844889986682209493e-01,4.230340823536419270e-01
1.671999999999999931e+00,-3.835554768952540439e-01,4.241476476578872057e-01
1.673000000000000043e+00,-3.826196275885811460e-01,4.252571320614848549e-01
1.673999999999999932e+00,-3.816815118424543019e-01,4.263624890762416353e-01
1.675000000000000044e+00,-3.807411911049922715e-01,4.274636729538008328e-01
1.675999999999999934e+00,-3.797987271685927535e-01,4.285606386863857198e-01
1.677000000000000046e+00,-3.788541821603416682e-01,4.296533420074051812e-01
1.677999999999999936e+00,-3.779076185324069526e-01,4.307417393918967496e-01
1.679000000000000048e+00,-3.769590990524219754e-01,4.318257880568295848e-01
1.679999999999999938e+00,-3.760086867938709498e-01,4.329054459612557970e-01
1.681000000000000050e+00,-3.750564451264659649e-01,4.339806718063169422e-01
1.681999999999999940e+00,-3.741024377065287898e-01,4.350514250351055212e-01
1.683000000000000052e+00,-3.731467284673662954e-01,4.361176658323727695e-01
1.683999999999999941e+00,-3.721893816096607521e-01,4.371793551241033304e-01
1.685000000000000053e+00,-3.712304615918569639e-01,4.382364545769388275e-01
1.685999999999999943e+00,-3.702700331205673878e-01,4.392889265974604940e-01
1.687000000000000055e+00,-3.693081611409863019e-01,4.403367343313350224e-01
1.687999999999999945e+00,-3.683449108273101902e-01,4.413798416623073706e-01
1.689000000000000057e+00,-3.673803475731862722e-01,4.424182132110727750e-01
1.689999999999999947e+00,-3.664145369821693032e-01,4.434518143339906682e-01
1.691000000000000059e+00,-3.654475448582024111e-01,4.444806111216745848e-01
1.691999999999999948e+00,-3.644794371961266322e-01,4.455045703974429561e-01
1.693000000000000060e+00,-3.635102801721977750e-01,4.465236597156313492e-01
1.693999999999999950e+00,-3.625401401346556307e-01,4.475378473597754758e-01
1.695000000000000062e+00,-3.615690835942905190e-01,4.485471023406557012e-01
1.695999999999999952e+00,-3.605971772150743937e-01,4.495513943942207602e-01
1.697000000000000064e+00,-3.596244878047939464e-01,4.505506939793680332e-01
1.697999999999999954e+00,-3.586510823057398323e-01,4.515449722756062489e-01
1.699000000000000066e+00,-3.576770277854217084e-01,4.525342011805859599e-01
