t,x,y,z
1.018000000000000016e+00,-1.904106089211178854e-01,-1.904106089211172748e-01,5.298965917052700370e-01
1.019000000000000128e+00,-1.915715292150597104e-01,-1.915715292150592108e-01,5.289526019425525583e-01
1.020000000000000018e+00,-1.927367011441257216e-01,-1.927367011441252220e-01,5.279972424020559219e-01
1.021000000000000130e+00,-1.939060148169796938e-01,-1.939060148169791942e-01,5.270304676919096432e-01
1.022000000000000020e+00,-1.950793597680818559e-01,-1.950793597680813007e-01,5.260522337001011239e-01
1.023000000000000131e+00,-1.962566250005963464e-01,-1.962566250005957358e-01,5.250624975924768068e-01
1.024000000000000021e+00,-1.974376988795747967e-01,-1.974376988795742416e-01,5.240612179436282547e-01
1.024999999999999911e+00,-1.986224692767318833e-01,-1.986224692767313560e-01,5.230483546446468290e-01
1.026000000000000023e+00,-1.998108235342874184e-01,-1.998108235342868910e-01,5.220238689712244362e-01
1.026999999999999913e+00,-2.010026484812644232e-01,-2.010026484812639791e-01,5.209877236049077487e-01
1.028000000000000025e+00,-2.021978304478667388e-01,-2.021978304478662114e-01,5.199398826561575371e-01
1.028999999999999915e+00,-2.033962552798469492e-01,-2.033962552798464218e-01,5.188803116873181853e-01
1.030000000000000027e+00,-2.045978083530776981e-01,-2.045978083530771430e-01,5.178089777352929968e-01
1.030999999999999917e+00,-2.058023745883917344e-01,-2.058023745883912903e-01,5.167258493338555692e-01
1.032000000000000028e+00,-2.070098384666638758e-01,-2.070098384666634594e-01,5.156308965356046770e-01
1.032999999999999918e+00,-2.082200840441732481e-01,-2.082200840441726652e-01,5.145240909335193624e-01
1.034000000000000030e+00,-2.094329949681594527e-01,-2.094329949681588976e-01,5.134054056821868439e-01
1.034999999999999920e+00,-2.106484544926640889e-01,-2.106484544926635616e-01,5.122748155185998797e-01
1.036000000000000032e+00,-2.118663454945749480e-01,-2.118663454945743374e-01,5.111322967825980834e-01
1.036999999999999922e+00,-2.130865504899106255e-01,-2.130865504899100982e-01,5.099778274369008990e-01
1.038000000000000034e+00,-2.143089516503311753e-01,-2.143089516503306757e-01,5.088113870867367883e-01
1.038999999999999924e+00,-2.155334308198519899e-01,-2.155334308198514626e-01,5.076329569990856161e-01
1.040000000000000036e+00,-2.167598695317990709e-01,-2.167598695317985436e-01,5.064425201214746153e-01
1.040999999999999925e+00,-2.179881490259382992e-01,-2.179881490259378274e-01,5.052400611003974307e-01
1.042000000000000037e+00,-2.192181502658346048e-01,-2.192181502658342440e-01,5.040255662992833008e-01
1.042999999999999927e+00,-2.204497539564054531e-01,-2.204497539564050645e-01,5.027990238160392478e-01
1.044000000000000039e+00,-2.216828405616502740e-01,-2.216828405616499409e-01,5.015604235001817068e-01
1.044999999999999929e+00,-2.229172903226044333e-01,-2.229172903226041835e-01,5.003097569694919811e-01
1.046000000000000041e+00,-2.241529832754307616e-01,-2.241529832754305396e-01,4.990470176262772339e-01
1.046999999999999931e+00,-2.253897992697344865e-01,-2.253897992697342645e-01,4.977722006731375992e-01
1.048000000000000043e+00,-2.266276179870198304e-01,-2.266276179870195528e-01,4.964853031283164575e-01
1.048999999999999932e+00,-2.278663189593333471e-01,-2.278663189593330973e-01,4.951863238405742051e-01
